influencer_id,name,category,gender,follower_count,platform
459,Amit Gupta,Multivitamins,Male,2639888,Twitter
460,Rohit Patel,Fat Burners,Male,4066194,Facebook
461,Karan Bhartia,Weight Loss Foods,Female,3433067,Twitter
462,Manish Das,Speciality Supplements,Male,694491,Instagram
463,Sanya Gupta,Proteins,Female,1887123,YouTube
464,Anjali Das,Herbs for Personal Care,Female,4612437,Instagram
465,Anita Sharma,Herbs for Immunity,Female,4547989,Instagram
466,Priya Naidu,Pre/Post Workout,Female,860131,Facebook
467,Pooja Patel,Speciality Supplements,Female,2925075,Instagram
468,Priya Sharma,Pre/Post Workout,Male,4932863,YouTube
469,Rohit Chatterjee,Multivitamins,Male,1734251,Facebook
470,Sneha Malhotra,Fat Burners,Female,4520518,Facebook
471,Shweta Gupta,Herbs for Immunity,Female,4316225,Instagram
472,Deepak Chatterjee,Proteins,Female,1065415,Facebook
473,Sanya Joshi,Fat Burners,Male,3295212,Twitter
474,Deepak Malhotra,Herbs for Immunity,Female,3148173,Twitter
475,Ravi Kumar,Vital Herbs,Female,3096993,Twitter
476,Amit Kapoor,Herbs for Personal Care,Male,782328,Twitter
477,Rahul Kumar,Weight Loss Foods,Female,1828289,Twitter
478,Karan Iyer,Herbs for Immunity,Female,2379951,YouTube
479,Suresh Malhotra,Multivitamins,Female,2884496,Instagram
480,Sneha Sharma,Speciality Supplements,Male,1043176,Facebook
481,Priya Das,Proteins,Female,1698168,Facebook
482,Pooja Menon,Herbs for Immunity,Male,3024551,YouTube
483,Ravi Verma,Multivitamins,Male,3325754,YouTube
484,Sanya Chatterjee,Gainers,Male,10112,Facebook
485,Amit Kumar,Multivitamins,Male,4358414,Twitter
486,Aditya Singh,Fat Burners,Male,3543626,Facebook
487,Amit Kumar,Pre/Post Workout,Female,750363,Instagram
488,Isha Kapoor,Fat Burners,Female,1151323,Twitter
489,Deepak Joshi,Gainers,Male,1377709,Twitter
490,Rahul Mehta,Multivitamins,Female,3711984,Facebook
491,Ravi Sharma,Multivitamins,Male,4946704,Twitter
492,Rahul Chatterjee,Fat Burners,Male,2079582,YouTube
493,Ravi Reddy,Weight Loss Foods,Female,226019,YouTube
494,Karan Joshi,Herbs for Personal Care,Male,3287245,YouTube
495,Sneha Reddy,Speciality Supplements,Female,946762,Facebook
496,Amit Chopra,Gainers,Male,3030111,YouTube
497,Deepak Bhartia,Herbs for Personal Care,Female,3066301,Facebook
498,Amit Kumar,Proteins,Male,116707,YouTube
499,Karan Patel,Proteins,Female,4250757,YouTube
500,Divya Chatterjee,Vital Herbs,Female,692454,Facebook
